127.0.0.1 - - [23/Sep/2024:09:18:47 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/home;jsessionid=83764DEF0635D0DCCDD1057AF2A6CBD2 HTTP/1.1" 200 55950
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/css/components.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/fancybox/source/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/slider-layer-slider/css/layerslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/carousel-owl-carousel/owl-carousel/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/css/style-layer-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/css/style-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/css/style-shop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/css/themes/red.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/brands/esprit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/img/logos/logo-shop-red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/brands/gap.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/brands/next.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/brands/puma.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/jquery-migrate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/scripts/back-to-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/fancybox/source/jquery.fancybox.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/carousel-owl-carousel/owl-carousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/bootstrap-touchspin/bootstrap.touchspin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/zoom/jquery.zoom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/slider-layer-slider/js/greensock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/slider-layer-slider/js/layerslider.transitions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/slider-layer-slider/js/layerslider.kreaturamedia.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/scripts/layerslider-init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/scripts/layout.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/cart-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/brands/zara.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/model4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/model3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/model7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/layerslider/slide1/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/layerslider/slide2/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/layerslider/slide3/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/layerslider/slide5/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/model6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/model1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/model5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/model2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/k1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/k2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/k3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/products/k4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/index-sliders/slide1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/index-sliders/slide3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/index-sliders/slide2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/pages/img/brands/canon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/img/payments/american-express.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/img/payments/visa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/img/payments/MasterCard.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/img/payments/western-union.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/img/payments/PayPal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/img/icon-color.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/frontend/layout/img/step3-angle-right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/img/social/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/img/social/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/img/social/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/img/social/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/img/social/googleplus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/img/social/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/img/social/skype.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/img/social/vimeo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:48 +0700] "GET /DuyHao/assets/global/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET /assets/global/plugins/slider-layer-slider/skins/fullwidth/skin.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET /assets/frontend/layout/img/up.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET /DuyHao/favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET /DuyHao/assets/frontend/layout/img/new.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET /DuyHao/assets/frontend/layout/img/sale.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET /DuyHao/assets/frontend/layout/img/fa-angle-brands.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET /DuyHao/assets/frontend/layout/img/fa-angles.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:49 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:50 +0700] "GET /assets/global/plugins/slider-layer-slider/css/blank.gif HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:50 +0700] "GET /DuyHao/login HTTP/1.1" 200 31898
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:50 +0700] "GET /assets/frontend/layout/img/up.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:50 +0700] "GET /DuyHao/favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:51 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:51 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:51 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:53 +0700] "POST /DuyHao/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:53 +0700] "GET /DuyHao/waiting HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:53 +0700] "GET /DuyHao/home HTTP/1.1" 200 55954
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:54 +0700] "GET /assets/global/plugins/slider-layer-slider/skins/fullwidth/skin.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:54 +0700] "GET /assets/frontend/layout/img/up.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:54 +0700] "GET /DuyHao/favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /assets/global/plugins/slider-layer-slider/css/blank.gif HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:18:55 +0700] "GET /DuyHao/logout HTTP/1.1" 302 -
